# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
418 0.744534 0.743311 0.743346 2.23119
419 0.747909 0.746679 0.746717 2.24131
420 0.75129 0.750053 0.750095 2.25144
421 0.754678 0.753434 0.75348 2.26159
422 0.758073 0.756822 0.756872 2.27177
423 0.761475 0.760217 0.760271 2.28196
424 0.764884 0.763618 0.763676 2.29218
425 0.7683 0.767027 0.767088 2.30241
426 0.771722 0.770442 0.770507 2.31267
427 0.775151 0.773864 0.773933 2.32295
428 0.778587 0.777292 0.777365 2.33324
429 0.78203 0.780728 0.780805 2.34356
430 0.785479 0.78417 0.784251 2.3539
431 0.788935 0.787619 0.787704 2.36426
432 0.792398 0.791074 0.791163 2.37464
433 0.795868 0.794537 0.79463 2.38503
434 0.799344 0.798006 0.798103 2.39545
435 0.802827 0.801482 0.801583 2.40589
436 0.806316 0.804964 0.805069 2.41635
437 0.809813 0.808454 0.808562 2.42683
438 0.813316 0.81195 0.812062 2.43733
439 0.816826 0.815453 0.815569 2.44785
440 0.820342 0.818962 0.819083 2.45839
441 0.823865 0.822478 0.822603 2.46895
442 0.827395 0.826001 0.82613 2.47953
443 0.830931 0.82953 0.829663 2.49012
444 0.834474 0.833066 0.833203 2.50074
445 0.838024 0.836609 0.83675 2.51138
446 0.84158 0.840159 0.840304 2.52204
447 0.845144 0.843715 0.843864 2.53272
448 0.848713 0.847277 0.847431 2.54342
449 0.85229 0.850847 0.851005 2.55414
450 0.855873 0.854423 0.854585 2.56488
451 0.859462 0.858006 0.858172 2.57564
452 0.863059 0.861595 0.861765 2.58642
453 0.866662 0.865191 0.865365 2.59722
454 0.870271 0.868794 0.868972 2.60804
455 0.873888 0.872403 0.872585 2.61888
456 0.877511 0.876019 0.876205 2.62973
457 0.88114 0.879641 0.879832 2.64061
458 0.884776 0.883271 0.883465 2.65151
459 0.888419 0.886906 0.887105 2.66243
460 0.892069 0.890549 0.890752 2.67337
461 0.895725 0.894198 0.894405 2.68433
462 0.899387 0.897853 0.898064 2.6953
463 0.903056 0.901515 0.901731 2.7063
464 0.906732 0.905184 0.905403 2.71732
465 0.910415 0.90886 0.909083 2.72836
466 0.914104 0.912542 0.912769 2.73941
467 0.917799 0.91623 0.916461 2.75049
468 0.921502 0.919925 0.92016 2.76159
469 0.925211 0.923627 0.923866 2.7727
470 0.928926 0.927335 0.927578 2.78384
471 0.932648 0.93105 0.931297 2.79499
472 0.936377 0.934771 0.935022 2.80617
473 0.940112 0.938499 0.938754 2.81736
474 0.943853 0.942233 0.942492 2.82858
475 0.947602 0.945974 0.946237 2.83981
476 0.951357 0.949721 0.949988 2.85107
477 0.955118 0.953474 0.953746 2.86234
478 0.958886 0.957235 0.95751 2.87363
479 0.96266 0.961001 0.961281 2.88494
480 0.966442 0.964775 0.965058 2.89627
481 0.970229 0.968554 0.968841 2.90762
482 0.974023 0.97234 0.972632 2.919
483 0.977824 0.976133 0.976428 2.93038
484 0.981631 0.979932 0.980231 2.94179
485 0.985445 0.983737 0.984041 2.95322
486 0.989265 0.987549 0.987857 2.96467
487 0.993092 0.991367 0.991679 2.97614
488 0.996926 0.995192 0.995508 2.98762
489 1.00077 0.999023 0.999343 2.99913
490 1.00461 1.00286 1.00318 3.01066
491 1.00846 1.0067 1.00703 3.0222
492 1.01232 1.01055 1.01089 3.03377
493 1.01619 1.01441 1.01475 3.04535
494 1.02006 1.01827 1.01862 3.05695
495 1.02394 1.02214 1.02249 3.06857
496 1.02783 1.02602 1.02637 3.08021
497 1.03172 1.0299 1.03026 3.09188
498 1.03562 1.03379 1.03415 3.10355
499 1.03952 1.03768 1.03805 3.11525
500 1.04343 1.04158 1.04195 3.12697
501 1.04735 1.04549 1.04587 3.13871
502 1.05127 1.0494 1.04978 3.15046
503 1.05521 1.05332 1.05371 3.16224
504 1.05914 1.05725 1.05764 3.17403
505 1.06309 1.06118 1.06158 3.18585
506 1.06704 1.06512 1.06552 3.19768
507 1.07099 1.06907 1.06947 3.20953
