# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
563 0.176891 0.177374 0.177277 0.531542
564 0.177222 0.177705 0.177607 0.532533
565 0.177552 0.178035 0.177938 0.533525
566 0.177882 0.178366 0.178269 0.534516
567 0.178212 0.178696 0.178599 0.535508
568 0.178543 0.179027 0.17893 0.5365
569 0.178873 0.179358 0.179261 0.537492
570 0.179204 0.179689 0.179591 0.538484
571 0.179534 0.18002 0.179922 0.539477
572 0.179865 0.180352 0.180253 0.540469
573 0.180195 0.180683 0.180584 0.541462
574 0.180526 0.181015 0.180915 0.542455
575 0.180857 0.181346 0.181246 0.543449
576 0.181187 0.181678 0.181577 0.544442
